Application Number,Title,Abstract,Application Date,Classification,Country Name (Priority),Priority Number,Priority Date,Earliest Priority Date,Application Type (ID)
P2025-00902,TRIPHENYLPHOSPHINE RUTHENIUM PHOTOCATALYST FOR HYDROGEN PRODUCTION,,2025-03-27,C01B 3/02,United States of America,"18/622,251",2024-03-29,2024-03-29,4
P2025-00944,GRAPHENE-INFUSED WOODEN STRUCTURES FOR SATELLITE APPLICATIONS,,2025-03-28,G01S 19/28,United States of America,"63/571,705",2024-03-29,2024-03-29,4
P2025-00774,WIRELESS CHARGING SYSTEM FOR AUTONOMOUS ROBOTS,,2025-03-14,"B60L 53/12, B60L 53/37, B60L 58/12, H02J 7/00, H02J 7/14, H02J 50/10, H02J 50/80, H02J 50/90",United States of America,"63/565,884",2024-03-15,2024-03-15,4
P2025-00775,TERRAIN COMPLIANT ROBOT LOCOMOTION MECHANISM,,2025-03-14,B61C 13/00,United States of America,"63/565,894",2024-03-15,2024-03-15,4
P2025-00751,PAYLOAD (VARIANTS) AND AIR TRANSPORT SYSTEM (VARIANTS) COMPRISING SAME,,2025-03-13,G05D 105/20,Russian Federation,2024107042,2024-03-18,2024-03-18,4
P2025-00704,MANAGEMENT SYSTEM,,2025-03-10,G06F 16/93,Japan,JP2024-037665,2024-03-11,2024-03-11,4
P2025-00773,"SYSTEM, METHOD AND NON-TRANSITORY COMPUTER-READABLE STORAGE DEVICE FOR AUTONOMOUS NAVIGATION OF AUTONOMOUS ROBOT",,2025-03-14,G05D 1/00,United States of America,"63/565,879",2024-03-15,2024-03-15,4
P2025-00684,MODULAR SENSOR PAYLOAD FOR ROBOTIC OPERATIONS,,2025-03-07,G05D 1/667,United States of America,"63/565,869",2024-03-15,2024-03-15,4
P2025-00702,"FAST APPROACH FOR DISPERSION CURVE STACKING, VISUALIZATION AND CALIBRATION",,2025-03-10,B65G 59/02,United States of America,18/600202,2024-03-08,2024-03-08,4
P2025-00685,Smart Photo Print and Album,,2025-03-07,B42D 1/08,United States of America,"US 63/563,776",2024-03-11,2024-03-11,4
P2025-00640,Securing element,,2025-03-04,G09F 11/04,European Patent Office (EPO),24161298.5,2024-03-05,2024-03-05,4
P2025-00727,Model based safety instrumented system programming using artificial neural networks,,2025-03-11,H04N 5/761,United States of America,"18/600,996",2024-03-11,2024-03-11,4
P2025-00636,A HIGH RESOLUTION STRAIN MAPPING SENSOR,,2025-03-04,"G01L 1/14, G01B 7/16, B32B 3/00",United States of America,"63/561,049",2024-03-04,2024-03-04,4
